Rwt,deltaR,Rfinal,mu,allottedGens,spills,0
1.0,0.1,3.0,0.001,100.0,1000.0,
1.0,0.2,3.0,0.001,100.0,1000.0,
1.0,0.3,3.0,0.001,100.0,1000.0,
1.0,0.4,3.0,0.001,100.0,1000.0,
1.0,0.5,3.0,0.001,100.0,1000.0,
1.0,0.6,3.0,0.001,100.0,1000.0,
1.0,0.7,3.0,0.001,100.0,1000.0,
1.0,0.8,3.0,0.001,100.0,1000.0,
1.0,0.9,3.0,0.001,100.0,1000.0,
1.0,1.0,3.0,0.001,100.0,1000.0,
1.05,0.1,3.0,0.001,100.0,1000.0,
1.05,0.2,3.0,0.001,100.0,1000.0,
1.05,0.3,3.0,0.001,100.0,1000.0,
1.05,0.4,3.0,0.001,100.0,1000.0,
1.05,0.5,3.0,0.001,100.0,1000.0,
1.05,0.6,3.0,0.001,100.0,1000.0,
1.05,0.7,3.0,0.001,100.0,1000.0,
1.05,0.8,3.0,0.001,100.0,1000.0,
1.05,0.9,3.0,0.001,100.0,1000.0,
1.05,1.0,3.0,0.001,100.0,1000.0,
1.1,0.1,3.0,0.001,100.0,1000.0,
1.1,0.2,3.0,0.001,100.0,1000.0,
1.1,0.3,3.0,0.001,100.0,1000.0,
1.1,0.4,3.0,0.001,100.0,1000.0,
1.1,0.5,3.0,0.001,100.0,1000.0,
1.1,0.6,3.0,0.001,100.0,1000.0,
1.1,0.7,3.0,0.001,100.0,1000.0,
1.1,0.8,3.0,0.001,100.0,1000.0,
1.1,0.9,3.0,0.001,100.0,1000.0,
1.1,1.0,3.0,0.001,100.0,1000.0,
1.15,0.1,3.0,0.001,100.0,1000.0,
1.15,0.2,3.0,0.001,100.0,1000.0,
1.15,0.3,3.0,0.001,100.0,1000.0,
1.15,0.4,3.0,0.001,100.0,1000.0,
1.15,0.5,3.0,0.001,100.0,1000.0,
1.15,0.6,3.0,0.001,100.0,1000.0,
1.15,0.7,3.0,0.001,100.0,1000.0,
1.15,0.8,3.0,0.001,100.0,1000.0,
1.15,0.9,3.0,0.001,100.0,1000.0,
1.15,1.0,3.0,0.001,100.0,1000.0,
1.2,0.1,3.0,0.001,100.0,1000.0,
1.2,0.2,3.0,0.001,100.0,1000.0,
1.2,0.3,3.0,0.001,100.0,1000.0,
1.2,0.4,3.0,0.001,100.0,1000.0,
1.2,0.5,3.0,0.001,100.0,1000.0,
1.2,0.6,3.0,0.001,100.0,1000.0,
1.2,0.7,3.0,0.001,100.0,1000.0,
1.2,0.8,3.0,0.001,100.0,1000.0,
1.2,0.9,3.0,0.001,100.0,1000.0,
1.2,1.0,3.0,0.001,100.0,1000.0,
1.25,0.1,3.0,0.001,100.0,1000.0,
1.25,0.2,3.0,0.001,100.0,1000.0,
1.25,0.3,3.0,0.001,100.0,1000.0,
1.25,0.4,3.0,0.001,100.0,1000.0,
1.25,0.5,3.0,0.001,100.0,1000.0,
1.25,0.6,3.0,0.001,100.0,1000.0,
1.25,0.7,3.0,0.001,100.0,1000.0,
1.25,0.8,3.0,0.001,100.0,1000.0,
1.25,0.9,3.0,0.001,100.0,1000.0,
1.25,1.0,3.0,0.001,100.0,1000.0,
1.3,0.1,3.0,0.001,100.0,1000.0,
1.3,0.2,3.0,0.001,100.0,1000.0,
1.3,0.3,3.0,0.001,100.0,1000.0,
1.3,0.4,3.0,0.001,100.0,1000.0,
1.3,0.5,3.0,0.001,100.0,1000.0,
1.3,0.6,3.0,0.001,100.0,1000.0,
1.3,0.7,3.0,0.001,100.0,1000.0,
1.3,0.8,3.0,0.001,100.0,1000.0,
1.3,0.9,3.0,0.001,100.0,1000.0,
1.3,1.0,3.0,0.001,100.0,1000.0,
1.35,0.1,3.0,0.001,100.0,1000.0,
1.35,0.2,3.0,0.001,100.0,1000.0,
1.35,0.3,3.0,0.001,100.0,1000.0,
1.35,0.4,3.0,0.001,100.0,1000.0,
1.35,0.5,3.0,0.001,100.0,1000.0,
1.35,0.6,3.0,0.001,100.0,1000.0,
1.35,0.7,3.0,0.001,100.0,1000.0,
1.35,0.8,3.0,0.001,100.0,1000.0,
1.35,0.9,3.0,0.001,100.0,1000.0,
1.35,1.0,3.0,0.001,100.0,1000.0,
1.4,0.1,3.0,0.001,100.0,1000.0,
1.4,0.2,3.0,0.001,100.0,1000.0,
1.4,0.3,3.0,0.001,100.0,1000.0,
1.4,0.4,3.0,0.001,100.0,1000.0,
1.4,0.5,3.0,0.001,100.0,1000.0,
