Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.0,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.026,0.974,237362.34615384616,25.61498973305955,99.0,5.873716632443532
1.0,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.033,0.967,3530266.523809524,32.80661840744571,92.78787878787878,6.200620475698035
1.0,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.029,0.971,14144845.923076924,26.157569515962926,86.10344827586206,5.6776519052523176
1.0,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.043,0.957,17221862.636363637,19.06896551724138,76.65116279069767,5.174503657262278
1.0,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.039,0.961,1029840.0588235294,24.76378772112383,78.41025641025641,5.568158168574402
1.0,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.038,0.962,2434643.8181818184,22.89189189189189,68.78947368421052,4.906444906444906
1.0,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.045,0.955,3491547.8571428573,21.51832460732984,65.4,5.450261780104712
1.0,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.034,0.966,7913965.142857143,19.175983436853002,66.17647058823529,5.094202898550725
1.0,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.043,0.957,523673.7,20.51828631138976,65.86046511627907,5.4472309299895505
1.0,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.015,0.985,3651.6,37.58274111675127,99.0,6.50761421319797
1.0125,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.043,0.957,547729.023255814,32.73876698014629,99.0,6.063740856844305
1.0125,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.057,0.943,4300765.972972973,26.274655355249205,93.50877192982456,5.533404029692471
1.0125,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.037,0.963,6174783.875,21.92834890965732,85.97297297297297,5.509865005192108
1.0125,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.05,0.95,21468218.263157893,26.629473684210527,81.14,5.523157894736842
1.0125,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.05,0.95,7681411.055555556,22.32842105263158,78.78,5.503157894736842
1.0125,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.057,0.943,7292637.166666667,20.551431601272533,74.49122807017544,5.501590668080594
1.0125,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.059,0.941,3133369.611111111,25.85759829968119,71.16949152542372,5.703506907545164
1.0125,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.065,0.935,10529733.833333334,23.894117647058824,61.84615384615385,5.5828877005347595
1.0125,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.051,0.949,3836.285714285714,21.183350895679663,67.25490196078431,5.3192834562697575
1.0125,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.036,0.964,5045.555555555556,37.27593360995851,99.0,6.643153526970955
1.025,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.053,0.947,1214328.8490566039,27.357972544878564,99.0,5.964097148891235
1.025,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.056,0.944,3371283.7209302327,23.305084745762713,95.03571428571429,5.9184322033898304
1.025,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.064,0.936,9035441.028571429,18.427350427350426,88.953125,5.049145299145299
1.025,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.065,0.935,11599869.84,19.42994652406417,83.6,5.243850267379679
1.025,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.073,0.927,10207459.32,22.830636461704422,80.13698630136986,5.41747572815534
1.025,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.067,0.933,6446952.666666667,17.9957127545552,70.6268656716418,5.064308681672026
1.025,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.071,0.929,5102629.375,20.576964477933263,70.70422535211267,5.306781485468245
1.025,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.071,0.929,6729191.8,20.98815931108719,70.33802816901408,5.371367061356297
1.025,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.071,0.929,4261000.75,22.128094725511303,63.95774647887324,5.01184068891281
1.025,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.057,0.943,6954.017543859649,34.83669141039236,99.0,6.131495227995758
1.0375,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.068,0.932,1114512.6176470588,24.03540772532189,99.0,5.5504291845493565
1.0375,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.073,0.927,4627974.232142857,19.071197411003237,95.01369863013699,4.971952535059331
1.0375,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.081,0.919,8270020.613636363,16.628944504896626,88.1604938271605,4.930359085963003
1.0375,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.072,0.928,3251662.476190476,18.02262931034483,81.375,5.071120689655173
1.0375,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.09,0.91,15641010.11764706,12.368131868131869,72.02222222222223,4.172527472527473
1.0375,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.087,0.913,9000361.45,20.606790799561885,73.42528735632185,5.362541073384447
1.0375,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.077,0.923,21171401.0,17.174431202600218,70.16883116883118,5.0541711809317444
1.0375,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.09,0.91,3803196.153846154,19.526373626373626,71.21111111111111,4.973626373626374
1.0375,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.081,0.919,510074.875,18.173014145810665,65.17283950617283,5.426550598476605
1.0375,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.057,0.943,12124.894736842105,20.08377518557794,99.0,5.277836691410393
1.05,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.105,0.895,2417003.4455445544,16.25586592178771,98.71428571428571,4.614525139664805
1.05,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.093,0.907,8856541.383333333,17.517089305402425,93.10752688172043,5.033076074972437
1.05,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.09,0.91,24192872.864864863,19.41868131868132,88.14444444444445,5.497802197802198
1.05,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.107,0.893,15778581.666666666,15.907054871220605,79.92523364485982,4.804031354983203
1.05,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.101,0.899,25839313.1,18.72525027808676,74.20792079207921,4.8587319243604
1.05,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.089,0.911,22747855.285714287,16.214050493962677,71.82022471910112,4.802414928649835
1.05,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.112,0.888,12844133.235294119,19.015765765765767,71.20535714285714,5.077702702702703
1.05,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.13,0.87,8182781.153846154,18.102298850574712,67.70769230769231,5.170114942528736
1.05,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.111,0.889,26353351.07142857,16.323959505061868,65.09909909909909,4.967379077615298
1.05,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.095,0.905,24597.76842105263,19.009944751381216,99.0,5.207734806629834
1.0625,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.112,0.888,3950549.128440367,16.399774774774773,98.8125,4.7308558558558556
1.0625,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.144,0.856,11494907.62886598,15.330607476635514,93.43055555555556,4.5607476635514015
1.0625,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.139,0.861,19449493.68,15.833914053426248,86.16546762589928,4.901277584204413
1.0625,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.11,0.89,29914673.136363637,11.919101123595505,78.19090909090909,4.217977528089888
1.0625,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.126,0.874,3747507.2666666666,12.25858123569794,72.7936507936508,4.240274599542334
1.0625,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.115,0.885,28174678.923076924,13.268926553672316,70.35652173913043,4.357062146892655
1.0625,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.11,0.89,27293130.0,13.82696629213483,71.35454545454546,4.430337078651686
1.0625,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.103,0.897,8212412.857142857,12.433667781493869,64.9126213592233,4.083612040133779
1.0625,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.132,0.868,7955473.875,15.461981566820276,60.40909090909091,4.9804147465437785
1.0625,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.106,0.894,48983.08490566038,22.012304250559286,99.0,5.596196868008948
1.075,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.148,0.852,2070808.8857142858,14.28169014084507,98.72972972972973,4.589201877934272
1.075,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.142,0.858,9567683.226190476,13.038461538461538,93.09154929577464,4.559440559440559
1.075,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.148,0.852,25702890.152173914,11.251173708920188,84.0945945945946,4.334507042253521
1.075,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.143,0.857,15989055.43478261,11.989498249708285,75.97202797202797,4.385064177362894
1.075,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.148,0.852,20451687.476190478,12.793427230046948,74.06756756756756,4.524647887323944
1.075,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.167,0.833,38750310.9,11.57623049219688,69.44311377245509,4.304921968787515
1.075,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.161,0.839,18858901.727272727,10.787842669845054,65.95652173913044,4.123957091775924
1.075,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.14,0.86,30008535.0,11.622093023255815,63.392857142857146,4.18953488372093
1.075,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.132,0.868,5368.0,11.423963133640553,61.15151515151515,4.292626728110599
1.075,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.139,0.861,119118.6834532374,12.038327526132404,99.0,4.369337979094077
1.0875,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.149,0.851,3742487.5220588236,11.847238542890716,98.36912751677852,4.501762632197415
1.0875,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.16,0.84,16490480.859375,11.245238095238095,89.50625,4.285714285714286
1.0875,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.178,0.822,31623602.733333334,11.77007299270073,80.97752808988764,4.345498783454988
1.0875,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.152,0.848,16465808.1875,8.43867924528302,77.74342105263158,3.705188679245283
1.0875,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.163,0.837,44782946.0,11.480286738351255,68.17791411042944,4.213859020310633
1.0875,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.158,0.842,50139663.692307696,10.616389548693586,67.94303797468355,4.211401425178147
1.0875,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.177,0.823,13150888.0,11.99756986634265,63.79661016949152,4.416767922235723
1.0875,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.186,0.814,23882959.0,12.754299754299755,61.806451612903224,4.281326781326781
1.0875,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.154,0.846,869164.0,10.356973995271868,59.48701298701299,4.139479905437352
1.0875,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.156,0.844,305969.8782051282,10.158767772511847,99.0,4.131516587677726
1.1,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.193,0.807,10185274.086705202,10.596034696406443,98.38341968911917,3.966542750929368
1.1,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.197,0.803,18068510.17105263,9.537982565379826,89.9238578680203,3.8443337484433373
1.1,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.186,0.814,39360440.684210524,10.771498771498772,78.89784946236558,4.062653562653563
1.1,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.193,0.807,36430564.76923077,10.117719950433704,71.66321243523316,4.133828996282528
1.1,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.196,0.804,14638878.909090908,10.038557213930348,68.59693877551021,4.0659203980099505
1.1,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.183,0.817,3380300.2,10.252141982864137,63.540983606557376,4.118727050183598
1.1,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.184,0.816,3453028.3333333335,9.544117647058824,62.375,3.9877450980392157
1.1,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.191,0.809,73516889.0,10.375772558714463,59.089005235602095,4.168108776266997
1.1,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.181,0.819,14400726.333333334,9.774114774114775,58.31491712707182,3.7997557997557996
1.1,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.163,0.837,719437.4846625767,8.51015531660693,99.0,3.848267622461171
1.1125,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.186,0.814,12464513.95,7.2899262899262895,97.78494623655914,3.4926289926289926
1.1125,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.216,0.784,26398175.80882353,9.006377551020408,88.27777777777777,3.733418367346939
1.1125,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.203,0.797,30085100.076923076,10.927227101631116,79.51231527093596,4.125470514429109
1.1125,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.205,0.795,12297593.0,9.339622641509434,72.01951219512195,3.8176100628930816
1.1125,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.176,0.824,13119171.166666666,9.548543689320388,66.52272727272727,3.9890776699029127
1.1125,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.199,0.801,24872690.8,9.406991260923846,62.040201005025125,4.106117353308364
1.1125,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.209,0.791,4223067.666666667,8.764854614412137,60.770334928229666,3.740834386852086
1.1125,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.186,0.814,16147385.5,7.514742014742015,57.24731182795699,3.4963144963144965
1.1125,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.203,0.797,4936781.0,8.718946047678795,57.51724137931034,3.6361355081555833
1.1125,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.199,0.801,1891115.7236180904,9.807740324594258,99.0,3.932584269662921
1.125,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.201,0.799,30203485.414473683,8.647058823529411,97.08457711442786,3.913642052565707
1.125,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.196,0.804,27954608.94117647,8.817164179104477,86.58163265306122,3.8383084577114426
1.125,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.225,0.775,52750286.578947365,9.76258064516129,76.03555555555556,4.0929032258064515
1.125,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.224,0.776,13170147.555555556,9.130154639175258,69.11607142857143,3.836340206185567
1.125,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.19,0.81,45434410.333333336,8.920987654320987,63.61052631578947,3.7320987654320987
1.125,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.233,0.767,22202247.666666668,7.717079530638853,62.60515021459227,3.72490221642764
1.125,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.203,0.797,,7.265997490589712,58.77832512315271,3.3676286072772896
1.125,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.238,0.762,52455825.5,8.514435695538058,56.87394957983193,3.7716535433070866
1.125,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.24,0.76,,7.856578947368421,56.13333333333333,3.643421052631579
1.125,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.216,0.784,5139405.462962963,7.733418367346939,99.0,3.693877551020408
1.1375,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.216,0.784,29212125.315789472,8.145408163265307,95.54629629629629,3.7551020408163267
