Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
0.5,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,1.941,,1.715
0.5,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,1.967,,1.728
0.5,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.03,,1.775
0.5,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,1.993,,1.747
0.5,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,1.9,,1.672
0.55,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.181,,1.857
0.55,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.218,,1.844
0.55,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.209,,1.849
0.55,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.38,,1.941
0.55,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.323,,1.943
0.6,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.503,,2.033
0.6,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.57,,2.025
0.6,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.521,,2.037
0.6,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.635,,2.096
0.6,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,,2.6346346346346348,83.0,2.059059059059059
0.65,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.835,,2.202
0.65,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.024,,2.244
0.65,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.644,,2.093
0.65,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.808,,2.168
0.65,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,2.937,,2.181
0.7,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.309,,2.402
0.7,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.44,,2.467
0.7,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.47,,2.427
0.7,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.304,,2.365
0.7,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,,3.4804804804804803,57.0,2.4174174174174174
0.75,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.814,,2.549
0.75,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.771,,2.527
0.75,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.95,,2.547
0.75,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.959,,2.611
0.75,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,3.717,,2.477
0.8,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,5.324,,3.022
0.8,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,5.075,,2.888
0.8,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,4.985,,2.923
0.8,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,4.955,,2.935
0.8,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,5.204,,2.972
0.85,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,6.96,,3.46
0.85,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,7.155,,3.471
0.85,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,6.064,,3.234
0.85,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,12304616.0,6.83983983983984,99.0,3.4314314314314314
0.85,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,6.869,,3.367
0.9,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,10.213,,4.151
0.9,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,9.211,,3.963
0.9,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,11.307,,4.251
0.9,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.004,0.996,16706028.5,8.653614457831326,91.75,3.748995983935743
0.9,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.0,1.0,,9.689,,4.061
0.95,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,2775.0,18.53953953953954,99.0,5.2242242242242245
0.95,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,2807.0,20.656656656656658,99.0,5.53953953953954
0.95,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.002,0.998,32475.5,21.48697394789579,99.0,5.251503006012024
0.95,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.011,0.989,333356.3333333333,17.127401415571285,82.63636363636364,4.853387259858443
0.95,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.001,0.999,683.0,20.42942942942943,99.0,5.198198198198198
1.0,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.017,0.983,3623.4117647058824,27.112919633774162,99.0,5.85147507629705
1.0,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.022,0.978,5237.5,32.75153374233129,99.0,6.118609406952965
