Rwt,deltaR,Rfinal,mu,allottedGens,spills,0
0.5,0.02,3.0,0.001,100.0,12.0,
0.5,0.05,3.0,0.001,100.0,12.0,
0.5,0.1,3.0,0.001,100.0,12.0,
0.5,0.25,3.0,0.001,100.0,12.0,
0.5,1.0,3.0,0.001,100.0,12.0,
0.55,0.02,3.0,0.001,100.0,12.0,
0.55,0.05,3.0,0.001,100.0,12.0,
0.55,0.1,3.0,0.001,100.0,12.0,
0.55,0.25,3.0,0.001,100.0,12.0,
0.55,1.0,3.0,0.001,100.0,12.0,
0.6,0.02,3.0,0.001,100.0,12.0,
0.6,0.05,3.0,0.001,100.0,12.0,
0.6,0.1,3.0,0.001,100.0,12.0,
0.6,0.25,3.0,0.001,100.0,12.0,
0.6,1.0,3.0,0.001,100.0,12.0,
0.65,0.02,3.0,0.001,100.0,12.0,
0.65,0.05,3.0,0.001,100.0,12.0,
0.65,0.1,3.0,0.001,100.0,12.0,
0.65,0.25,3.0,0.001,100.0,12.0,
0.65,1.0,3.0,0.001,100.0,12.0,
0.7,0.02,3.0,0.001,100.0,12.0,
0.7,0.05,3.0,0.001,100.0,12.0,
0.7,0.1,3.0,0.001,100.0,12.0,
0.7,0.25,3.0,0.001,100.0,12.0,
0.7,1.0,3.0,0.001,100.0,12.0,
0.75,0.02,3.0,0.001,100.0,12.0,
0.75,0.05,3.0,0.001,100.0,12.0,
0.75,0.1,3.0,0.001,100.0,12.0,
0.75,0.25,3.0,0.001,100.0,12.0,
0.75,1.0,3.0,0.001,100.0,12.0,
0.8,0.02,3.0,0.001,100.0,12.0,
0.8,0.05,3.0,0.001,100.0,12.0,
0.8,0.1,3.0,0.001,100.0,12.0,
0.8,0.25,3.0,0.001,100.0,12.0,
0.8,1.0,3.0,0.001,100.0,12.0,
0.85,0.02,3.0,0.001,100.0,12.0,
0.85,0.05,3.0,0.001,100.0,12.0,
0.85,0.1,3.0,0.001,100.0,12.0,
0.85,0.25,3.0,0.001,100.0,12.0,
0.85,1.0,3.0,0.001,100.0,12.0,
0.9,0.02,3.0,0.001,100.0,12.0,
0.9,0.05,3.0,0.001,100.0,12.0,
0.9,0.1,3.0,0.001,100.0,12.0,
0.9,0.25,3.0,0.001,100.0,12.0,
0.9,1.0,3.0,0.001,100.0,12.0,
0.95,0.02,3.0,0.001,100.0,12.0,
0.95,0.05,3.0,0.001,100.0,12.0,
0.95,0.1,3.0,0.001,100.0,12.0,
0.95,0.25,3.0,0.001,100.0,12.0,
0.95,1.0,3.0,0.001,100.0,12.0,
1.0,0.02,3.0,0.001,100.0,12.0,
1.0,0.05,3.0,0.001,100.0,12.0,
1.0,0.1,3.0,0.001,100.0,12.0,
1.0,0.25,3.0,0.001,100.0,12.0,
1.0,1.0,3.0,0.001,100.0,12.0,
1.05,0.02,3.0,0.001,100.0,12.0,
1.05,0.05,3.0,0.001,100.0,12.0,
1.05,0.1,3.0,0.001,100.0,12.0,
1.05,0.25,3.0,0.001,100.0,12.0,
1.05,1.0,3.0,0.001,100.0,12.0,
1.1,0.02,3.0,0.001,100.0,12.0,
1.1,0.05,3.0,0.001,100.0,12.0,
1.1,0.1,3.0,0.001,100.0,12.0,
1.1,0.25,3.0,0.001,100.0,12.0,
1.1,1.0,3.0,0.001,100.0,12.0,
1.15,0.02,3.0,0.001,100.0,12.0,
1.15,0.05,3.0,0.001,100.0,12.0,
1.15,0.1,3.0,0.001,100.0,12.0,
1.15,0.25,3.0,0.001,100.0,12.0,
1.15,1.0,3.0,0.001,100.0,12.0,
1.2,0.02,3.0,0.001,100.0,12.0,
1.2,0.05,3.0,0.001,100.0,12.0,
1.2,0.1,3.0,0.001,100.0,12.0,
1.2,0.25,3.0,0.001,100.0,12.0,
1.2,1.0,3.0,0.001,100.0,12.0,
1.25,0.02,3.0,0.001,100.0,12.0,
1.25,0.05,3.0,0.001,100.0,12.0,
1.25,0.1,3.0,0.001,100.0,12.0,
1.25,0.25,3.0,0.001,100.0,12.0,
1.25,1.0,3.0,0.001,100.0,12.0,
1.3,0.02,3.0,0.001,100.0,12.0,
1.3,0.05,3.0,0.001,100.0,12.0,
1.3,0.1,3.0,0.001,100.0,12.0,
1.3,0.25,3.0,0.001,100.0,12.0,
1.3,1.0,3.0,0.001,100.0,12.0,
1.35,0.02,3.0,0.001,100.0,12.0,
1.35,0.05,3.0,0.001,100.0,12.0,
1.35,0.1,3.0,0.001,100.0,12.0,
1.35,0.25,3.0,0.001,100.0,12.0,
1.35,1.0,3.0,0.001,100.0,12.0,
1.4,0.02,3.0,0.001,100.0,12.0,
1.4,0.05,3.0,0.001,100.0,12.0,
1.4,0.1,3.0,0.001,100.0,12.0,
1.4,0.25,3.0,0.001,100.0,12.0,
1.4,1.0,3.0,0.001,100.0,12.0,
1.45,0.02,3.0,0.001,100.0,12.0,
1.45,0.05,3.0,0.001,100.0,12.0,
1.45,0.1,3.0,0.001,100.0,12.0,
1.45,0.25,3.0,0.001,100.0,12.0,
1.45,1.0,3.0,0.001,100.0,12.0,
