"Rwt","deltaR","Pemerge","Pextinct","mean_size_emerge","mean_size_extinct","mean_gens_emerge","mean_gens_extinct"
1.2,0.25,0.339,0.661,971742087.272727,5.34743202416918,69.6363636363636,3.96827794561934
1.25,0.25,0.362,0.638,863844700.33813,4.07366771159875,65.3597122302158,3.58777429467085
1.3,0.25,0.422,0.578,990382872.813725,3.50519031141868,60.1666666666667,3.50346020761246
1.35,0.25,0.477,0.523,937801297.971014,3.94646271510516,54.4492753623188,3.52581261950287
1.4,0.25,0.515,0.485,866610874.914286,3.18762886597938,51.1714285714286,3.34432989690722
1.45,0.25,0.522,0.478,1052744424.82353,2.92887029288703,48.5294117647059,3.15899581589958
1.5,0.25,0.565,0.435,822594637.019512,2.70804597701149,45.0926829268293,3.14252873563218
1.55,0.25,0.64,0.36,928831443.084967,2.46111111111111,43.0065359477124,3.04722222222222
1.6,0.25,0.638,0.362,995024255.808081,2.28729281767956,40.5454545454545,2.90331491712707
1.65,0.25,0.642,0.358,1015205820.35211,2.3072625698324,39.0704225352113,2.86871508379888
1.7,0.25,0.716,0.284,1007834871.63158,2.29577464788732,36.5263157894737,2.90492957746479
1.75,0.25,0.685,0.315,751433010.364807,2.03809523809524,34.980686695279,2.77142857142857
1.8,0.25,0.73,0.27,842076172.437811,1.81111111111111,33.7437810945274,2.65185185185185
1.85,0.25,0.743,0.257,922761468.612536,1.86381322957198,32.6039886039886,2.65758754863813
1.9,0.25,0.77,0.23,951125781.605016,1.93913043478261,31.4576802507837,2.7
1.95,0.25,0.811,0.189,1016373432.0856,1.79365079365079,30.4007782101167,2.65079365079365
2,0.25,0.816,0.184,231489521.422794,1.66847826086957,27.030637254902,2.56521739130435
1.2,0.5,0.32,0.68,1356930.58125,5.18382352941176,48.309375,4.075
1.25,0.5,0.379,0.621,1721971.85224274,4.16747181964574,43.2506596306069,3.62962962962963
1.3,0.5,0.409,0.591,2106226.10513448,4.00676818950931,40.8997555012225,3.66159052453469
1.35,0.5,0.473,0.527,2935219.1205074,3.38330170777988,38.9175475687104,3.30170777988615
1.4,0.5,0.542,0.458,3659610.33948339,3.16375545851528,36.2675276752768,3.33406113537118
1.45,0.5,0.564,0.436,4686801.2393617,2.71100917431193,34.5531914893617,3.05733944954128
1.5,0.5,0.555,0.445,505224.605405406,2.67865168539326,28.6252252252252,3.13258426966292
1.55,0.5,0.652,0.348,590415.700920245,2.39080459770115,27.0092024539877,2.93103448275862
1.6,0.5,0.646,0.354,837253.931888545,2.21468926553672,26.140866873065,2.80508474576271
1.65,0.5,0.67,0.33,893532.935820895,2.18787878787879,25.0208955223881,2.88181818181818
1.7,0.5,0.663,0.337,1212420.6907994,1.98219584569733,24.3499245852187,2.7299703264095
1.75,0.5,0.726,0.274,1501507.98071625,2.02554744525547,23.8236914600551,2.71897810218978
1.8,0.5,0.743,0.257,1731687.51009421,2.05058365758755,23.1170928667564,2.70817120622568
1.85,0.5,0.754,0.246,2205655.88726791,1.8780487804878,22.5968169761273,2.66666666666667
1.9,0.5,0.766,0.234,2405566.61096606,1.8034188034188,21.8342036553525,2.64957264957265
1.95,0.5,0.811,0.189,2767686.84956843,1.85714285714286,21.3464858199753,2.62962962962963
2,0.5,0.78,0.22,100356.116666667,1.67272727272727,16.024358974359,2.53181818181818
1.2,0.75,0.315,0.685,94677.3333333333,5.84817518248175,38,4.08467153284672
1.25,0.75,0.367,0.633,111874.446866485,5.05055292259084,35.3787465940054,3.97946287519747
1.3,0.75,0.424,0.576,130125.075471698,4.19270833333333,32.8160377358491,3.68402777777778
1.35,0.75,0.467,0.533,167662.862955032,3.66041275797373,30.9507494646681,3.5234521575985
1.4,0.75,0.555,0.445,193826.902702703,3.53932584269663,29.2792792792793,3.5438202247191
1.45,0.75,0.556,0.444,250594.034172662,3.35585585585586,27.9172661870504,3.4481981981982
1.5,0.75,0.593,0.407,26718.2462057336,2.58230958230958,21.5868465430017,3.01719901719902
1.55,0.75,0.603,0.397,28614.5655058043,2.56926952141058,20.5572139303483,3.03022670025189
1.6,0.75,0.639,0.361,34797.4366197183,2.26315789473684,19.9342723004695,2.86149584487535
1.65,0.75,0.698,0.302,38212.6919770774,2.16887417218543,18.9971346704871,2.83774834437086
1.7,0.75,0.678,0.322,41892.1430678466,2.2111801242236,18.3318584070796,2.87888198757764
1.75,0.75,0.724,0.276,49196.388121547,2.17391304347826,17.9696132596685,2.79347826086956
1.8,0.75,0.735,0.265,53340.0993197279,1.90566037735849,17.2585034013605,2.65283018867924
1.85,0.75,0.74,0.26,59583.5662162162,1.90384615384615,16.6905405405405,2.70384615384615
1.9,0.75,0.782,0.218,64406.800511509,1.79357798165138,16.2084398976982,2.63761467889908
1.95,0.75,0.791,0.209,71012.6953223768,1.70813397129187,15.9582806573957,2.58851674641148
2,0.75,0.789,0.211,74473.0950570342,1.7914691943128,15.4512040557668,2.5781990521327
1.2,1,0.329,0.671,6020.53495440729,5.61997019374069,30.887537993921,4.11028315946349
1.25,1,0.362,0.638,8108.83425414365,4.76332288401254,28.1381215469613,3.85109717868338
1.3,1,0.449,0.551,10786.5100222717,4.07078039927405,26.5100222717149,3.65335753176044
1.35,1,0.474,0.526,12566.4135021097,3.92205323193916,24.6645569620253,3.60836501901141
1.4,1,0.544,0.456,15565.8805147059,2.83771929824561,23.3529411764706,3.23026315789474
1.45,1,0.57,0.43,17625.8771929825,2.78139534883721,21.9175438596491,3.09767441860465
1.5,1,0.608,0.392,20802.572368421,2.82142857142857,20.8947368421053,3.21428571428571
1.55,1,0.615,0.385,24235.593495935,2.57142857142857,20.1691056910569,3.03636363636364
1.6,1,0.674,0.326,28092.9569732938,2.21165644171779,19.299703264095,2.85889570552147
1.65,1,0.659,0.341,29980.8163884674,2.2375366568915,18.5022761760243,2.89149560117302
1.7,1,0.672,0.328,34148.4538690476,2.07621951219512,17.90625,2.80182926829268
1.75,1,0.708,0.292,38687.2570621469,1.88013698630137,17.1977401129943,2.68493150684932
1.8,1,0.732,0.268,45046.9221311476,1.94776119402985,17.0177595628415,2.67164179104478
1.85,1,0.736,0.264,50767.03125,1.85984848484849,16.4048913043478,2.66666666666667
1.9,1,0.778,0.222,57997.9035989717,1.8963963963964,15.9717223650386,2.68018018018018
1.95,1,0.797,0.203,55771.7151819322,1.84729064039409,15.6298619824341,2.6551724137931
2,1,0.805,0.195,1430.40124223603,1.75384615384615,9.82857142857143,2.55897435897436
