"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",1110.264,1190.08880695725,1221.2112508665,1255.36264931556,1292.00924629549,1329.85085218058,1370.26320212464,1410.98653990095,1450.08985594678,1486.20887239584,1519.74335700034,1559.61983629736,1604.59804811328,1648.59294094691,1700.43559524006,1747.4192741883,1795.67686871827,1851.31401839634,1907.91914389027,1964.14858083262,2018.74042210744,2078.06065151365,2126.82550973861,2175.428827534,2223.49317470851,2281.91495409786,2349.51502226507,2432.12955410115,2507.11724625777,2592.82580122658,2678.52957026883,2756.77001539413,2844.93927750179,2927.24225804753,2996.28069726974,3066.35372972911,3137.52484776386,3215.81688796045,3298.58086510137,3382.40658828283,3467.37161121567,3556.04840184641,3646.74292916717,3738.333134274,3829.85719962365,3961.24384317097,4098.00698974787,4240.29464657913,4388.42362354018,4542.44577482933,4702.13249436669,4867.40314467796,5037.59579538968,5212.64073037613,5392.36626077552,5576.62578458217,5765.34659436622,5958.52482444478,6156.16932992389,6358.21977260964,6564.46581869554,6775.36329518575,6991.23598110953,7212.55945843736,7439.98931781803,7674.19801732656,7915.91103203218,8165.73776988176,8424.17309857074,8691.67340374646,8968.62971034057,9255.38164955948,9552.25324719114,9859.6369106827,10177.9005184979,10507.4097054701,10848.5333914925,11201.6478522607,11567.102756831,11945.2709363739,12336.4088561892,12740.7858061946,13158.6917844578,13590.3645359713,14036.1138653826,14496.2919559045,14971.2403567076,15461.2811812536,15966.7037382191,16487.835814828,17025.0652842488,17578.8204452963,18149.6003872448,18737.9805512839,19344.6109812719,19970.1872312721,20615.336589497,21280.8833479332,21967.6865566946,22676.6325632647,23408.6305062142
"2",1000.147,957.893,1028.98354615354,1058.16254089426,1090.03267170405,1124.1165298407,1159.10207255256,1196.53664539976,1234.39307139433,1270.76457116965,1304.63106543756,1336.40155633602,1373.38433414133,1415.64514077795,1456.00195506286,1505.01338391092,1546.99637110471,1590.16585536609,1645.97795581166,1701.57717981264,1755.05752735634,1808.65606470406,1867.20695822506,1916.57143316727,1966.51401495931,2016.44252605101,2075.53093227865,2143.31416953546,2225.63947127474,2300.81322759906,2386.43623434977,2472.46325085868,2551.3323557449,2639.53483693335,2722.90330197282,2793.32351268167,2865.06127466123,2937.83106772556,3016.415633622,3100.57698767497,3185.17963029698,3271.77146590736,3361.38133839675,3452.99659239016,3544.66997893611,3631.45266928029,3756.03286967642,3885.71104507802,4020.62753524278,4161.08273781166,4307.12582069272,4458.54002067112,4615.24887767121,4776.62475241131,4942.60154038737,5113.01644702432,5287.73046498658,5466.67465342953,5649.84534693073,5837.25094186028,6028.83422582516,6224.39576129462,6424.36776130028,6629.05723160211,6838.91511679833,7054.56304487333,7276.6386374261,7505.82978652136,7742.71432992173,7987.76149885956,8241.40403606933,8504.01270956087,8775.90955605429,9057.40181528499,9348.8615661575,9650.63762930913,9963.07669797726,10286.5285802779,10621.3500590642,10967.8726888985,11326.4499865515,11697.3251312199,12080.7534623432,12477.0099547318,12886.3200370747,13308.9774646883,13745.3161760467,14195.6600264744,14660.3144424481,15139.5537451007,15633.6887407436,16143.0872088996,16668.1552604998,17209.3661296581,17767.2654470168,18342.4695811195,18935.6380530732,19547.3656546247,20178.4339755771,20829.6575632273,21501.8768481102
"3",936.1035,963.486,923.46087744653,992.796502136798,1021.81743048227,1053.51332704096,1086.96560532588,1121.53741795238,1158.39248498579,1195.69174699058,1231.44559677573,1264.68455184263,1295.93953458723,1332.29555206338,1373.69057205586,1413.30062528984,1461.61084956822,1500.93333545745,1545.36620809424,1601.70084274607,1657.5575623321,1711.37874146222,1765.57253747225,1824.64416875912,1875.19060797978,1926.29047193988,1977.32370049122,2037.39506879785,2105.92713801699,2188.72143058853,2264.65688225529,2350.99769512258,2437.69559390441,2517.37234477334,2606.17949755069,2690.18383591989,2761.34763757719,2833.86198130703,2907.43652221877,2986.7183072378,3071.21225755627,3156.87112506408,3244.0404177141,3334.38399302181,3426.31455601248,3517.27956287452,3603.3916649807,3727.00920776916,3855.68533242994,3989.55929428568,4128.9291697411,4273.84374677344,4424.08793714314,4579.58587159775,4739.71476075733,4904.40901092134,5073.50708546288,5246.87105118552,5424.43249996516,5606.18779470283,5792.14526688812,5982.24814622029,6176.29853626465,6374.72531025114,6577.83310164117,6786.06937048848,7000.05094132631,7220.41050871643,7447.83064923581,7682.88473557223,7926.03837310888,8177.72096068543,8438.30040130874,8708.09624325292,8987.41335214684,9276.62093176249,9576.0651073262,9886.08989310325,10207.0423941682,10539.2766364374,10883.121612481,11238.9281073706,11606.9374212058,11987.402920364,12380.5974548671,12786.7447114688,13206.1361755758,13639.103205249,14085.9671533143,14547.031086153,15022.5672051607,15512.8839149824,16018.3461532307,16539.3568927315,17076.3857108184,17629.97402193,18200.7334317997,18789.3183652751,19396.319018021,20022.5109403308,20668.7023853214
"4",891.2285,909.5325,936.572161103193,898.126918055944,966.099713507536,994.931468766747,1026.10850476476,1059.23735241407,1093.42703541306,1129.89106295795,1166.77143840356,1202.12766379596,1235.0608334272,1266.08533837836,1302.06237976662,1342.93598322576,1382.28717931091,1428.73512298618,1468.8171712861,1513.59218878725,1569.85378839227,1625.63123137797,1679.57621963048,1733.92189504752,1793.39414963423,1844.52154602364,1896.19204265423,1947.85744510335,2008.3781418858,2077.24886861681,2160.3244745215,2236.71555190839,2323.36375059005,2410.4046161651,2490.47437076711,2579.57007217983,2663.89987809111,2735.57012925848,2808.62419208891,2882.69130057684,2962.20526474541,3047.43136076631,3133.45856591157,3221.15260137762,3311.86677647736,3403.17652902802,3493.52724588573,3579.05782983015,3701.84057884996,3829.64774895447,3962.61765507006,4101.04636068063,4244.98232429642,4394.2119101766,4548.65976141654,4707.70729435567,4871.2893582501,5039.24550733564,5211.43873988377,5387.80110973294,5568.32900434565,5753.03069894863,5941.84980661305,6134.58976730605,6331.67655806103,6533.41275513853,6740.24279687827,6952.77934237494,7171.65081358089,7397.53517760861,7631.00193513924,7872.51354730586,8122.49651320213,8381.3162513725,8649.29015216997,8926.72102245469,9213.97557275214,9511.3975908924,9819.32876799986,10138.1138651359,10468.104517467,10809.6274958644,11163.0312165354,11528.5553500712,11906.4515518569,12296.9908293482,12700.395358734,13116.9546570095,13546.9978445625,13990.8441041115,14448.7944554196,14921.1192616964,15408.1248449192,15910.1736782635,16427.6660132651,16961.0682561846,17510.9181652694,18077.823216057,18662.43341404,19265.3349692708,19887.298194723
"5",852.7135,871.5855,889.734587711692,916.479182742003,879.174789979668,946.093523214566,974.518740706339,1005.4629059154,1038.32001011529,1072.27088510234,1108.48090770088,1145.11885839422,1180.2837828433,1213.08832557968,1243.99850953093,1279.72088327144,1320.4278944375,1358.55519370163,1405.37107844058,1445.64812169758,1490.38574162778,1546.3799783299,1601.99761855673,1655.83332303116,1710.31843992013,1769.90576815089,1821.27909764715,1873.25030650315,1925.18818644252,1985.90020792375,2054.97890046344,2138.17277771403,2214.74265070616,2301.49269539424,2388.63781651689,2468.87675666472,2558.07363996428,2642.60029897122,2714.61162701862,2787.979731012,2862.19346512096,2942.23693156517,3027.67373981618,3114.0453154607,3202.00501394186,3292.1799542352,3382.94693167177,3472.76057423807,3557.78273634187,3679.83562443505,3806.88306680625,3939.06255619257,4076.66839617946,4219.74875722389,4368.09127350594,4521.62103606711,4679.723138311,4842.3328167711,5009.29057942546,5180.46023892876,5355.77425301371,5535.22903061694,5718.83279777449,5906.52950273995,6098.12375389775,6294.03899613411,6494.57600709703,6700.17658323901,6911.44974180813,7129.0201692106,7353.56180250003,7585.64075705875,7825.71674499921,8074.21373016457,8331.49495893163,8597.87593498103,8873.65766518966,9159.20468023535,9454.85872436059,9760.95945756566,10077.8495915391,10405.8786712127,10745.3715250245,11096.6744980815,11460.0258362943,11835.675699126,12223.893483075,12624.9000436421,13038.9831768386,13466.4700466526,13907.677938476,14362.9060827116,14832.4232354416,15316.5338977648,15815.5983881973,16330.0145790487,16860.2461041076,17406.8275250102,17970.3627062601,18551.4977895041,19150.8155001697
"6",818.8285,838.0425,856.727886916416,874.73741913876,901.236640454804,864.787896058953,930.725402420181,958.994675041007,989.758292702226,1022.45721105155,1056.28153617103,1092.36504157696,1128.88716104385,1163.96774446963,1196.70710128819,1227.52211442376,1263.21591801237,1302.95333120555,1341.43447711683,1388.24163119736,1428.44265299615,1472.98061647004,1528.69836316355,1584.05813560329,1637.85101456797,1692.32821463173,1751.87830160757,1803.35794178721,1855.41445161334,1907.46411056954,1968.30081816663,2037.47137462036,2120.63166395363,2197.2346653258,2283.95763966328,2371.07996134106,2451.37197768305,2540.60466866065,2625.235467739,2697.43835869066,2770.86433330247,2845.46197546767,2925.63215859255,3011.27430791223,3097.79638898641,3185.29711833625,3275.00153048173,3365.29489055142,3454.6398902026,3539.2184110871,3660.63443355898,3787.01894898445,3918.50873267066,4055.39655254227,4197.73032770532,4345.29880045366,4498.02745269988,4655.30458639818,4817.06577601446,4983.15236174785,5153.42886687151,5327.82810155019,5506.3464934585,5688.99222570945,5875.70953903173,6066.30406135305,6261.19702804625,6460.68764731721,6665.2154103475,6875.3861565649,7091.82131279444,7315.19129952124,7546.05927816701,7784.88256209031,8032.08290291303,8288.02165161125,8553.01266558384,8827.35538106944,9111.41242664379,9405.52376334567,9710.02727884717,10025.2638965851,10351.5813375839,10689.3027353437,11038.7726277608,11400.2280175911,11773.9177589786,12160.1098427246,12559.0239719176,12970.9464408643,13396.202706428,13835.1083984219,14287.9611858803,14755.02842253,15236.613020599,15733.07341848,16244.8054124056,16772.2702169477,17315.9996044272,17876.5942884144,18454.6970390227
"7",788.8125,807.7385,826.766433088011,845.29828048475,863.192956639681,889.507839003555,853.598392174817,918.91436057312,947.072551156781,977.738782381152,1010.37074365879,1044.15111971132,1080.17472285189,1116.63969665711,1151.6674432359,1184.33111064891,1215.19200894468,1250.1677429826,1290.14507180176,1328.65525912327,1375.27998365929,1415.2874743632,1459.62170654258,1515.03877073784,1570.25068112367,1623.94599928822,1678.34015016314,1737.81710923631,1789.28097706292,1841.34570536729,1893.48250307896,1954.37049444405,2023.52624563729,2106.57866181401,2183.14451199406,2269.77058003079,2356.82770999667,2437.1326779401,2526.3530794973,2611.01546107643,2683.22068188894,2756.90360597204,2831.57451373252,2911.87579242372,2997.5839295859,3083.71264894595,3170.81556728087,3260.11214964592,3349.99500235782,3438.93380625209,3523.12780157339,3643.99182143357,3769.80174562163,3900.69372761307,4036.95920430014,4178.64587693071,4325.54344825515,4477.57773897309,4634.13983204664,4795.16559484427,4960.49708889184,5129.99945339035,5303.60580397465,5481.31258456046,5663.12794105732,5848.9963676964,6038.72437609348,6232.73128652799,6431.31494689348,6634.91285028037,6844.12808174401,7059.57924287084,7281.93370616392,7511.75207270269,7749.48957672827,7995.56605242207,8250.34120792361,8514.12747371872,8787.222924697,9069.98854078916,9362.76273744407,9665.8818661702,9979.68530043897,10304.5191804051,10640.7051704832,10988.5862421714,11348.3983207226,11720.3891288967,12104.8254391088,12501.9259555951,12911.9756710612,13335.298562722,13772.2088254197,14223.0027748739,14687.9465493212,15167.3416838377,15661.5449872213,16170.9504562666,16696.017208692,17237.2745991827,17795.3206102405
"8",761.7995,780.2975,799.058903086752,817.93932183646,836.354028332362,854.171440053707,880.254120167688,844.887900674757,909.731926450838,937.837512975234,968.47418375826,1001.09014620314,1034.85237655745,1070.84076334085,1107.25844796926,1142.2111445396,1174.90464508207,1205.21942247935,1240.41293076862,1280.37705761321,1318.76883138239,1365.14934076128,1404.97599320144,1449.09703906607,1504.33726283284,1559.40336802235,1612.97929097177,1667.29094709502,1726.64829286177,1778.07002796293,1830.15725520887,1882.3364034003,1943.2072121582,2012.2947134217,2095.2278156298,2171.71551702317,2258.24271493084,2345.22980360159,2425.51689194275,2514.6990454585,2599.26755883779,2671.64670727112,2745.35366919488,2820.11121441192,2900.44244986608,2985.81405808198,3071.60459709964,3158.36550994597,3247.31147350439,3336.84140544687,3425.43099533474,3509.29440691607,3629.68385991953,3754.99979739149,3885.37783820726,4021.10827494593,4162.23862155866,4308.55940651804,4459.99674178519,4615.9441012062,4776.33760396324,4941.01993172016,5109.85675320249,5282.78144666337,5459.79046998133,5640.89193708137,5826.03056013544,6015.01361048232,6208.25876196016,6406.06269297689,6608.86117882699,6817.25493658085,7031.86013891507,7253.34153792613,7482.25753351985,7719.06157248164,7964.17184053386,8217.94663343902,8480.69715493944,8752.72030954777,9034.37565982409,9326.00029244503,9627.92923825074,9940.50053817879,10264.058973281,10598.9249449717,10945.4400780878,11303.8393715329,11674.3695753951,12057.2964146203,12452.8377347127,12861.2774093677,13282.938143719,13718.1328989376,14167.1568272732,14630.2750219836,15107.7878341814,15600.0506716716,16107.4559842393,16630.4610868987,17169.5932558488
"9",736.993,755.1335,773.49233755969,792.126986009209,810.899248053374,829.236909277389,846.930499718028,872.933612225334,838.008215148313,902.505817612518,930.603635151542,961.237992018958,993.843434729936,1027.58916713891,1063.53829417009,1099.87914729744,1134.84400623294,1167.06979918399,1197.58647502889,1232.78163212949,1272.62639788667,1310.84793212002,1357.01981690925,1396.67145741398,1440.687381139,1495.77918443515,1550.70921208167,1604.19153199214,1658.40127421941,1717.65198118006,1769.0671937819,1821.15993135184,1873.33769157253,1934.15760633652,2003.17892165935,2085.98604972723,2162.4062232928,2248.84697787356,2335.76079250223,2416.0228115968,2505.07726932969,2589.71858229291,2662.09634458937,2735.85061297355,2810.62194470187,2890.68287707172,2975.76722207197,3061.26908823192,3147.73806305181,3236.38473620157,3325.61341276554,3413.90491139104,3497.48613462205,3617.47049438523,3742.36476170335,3872.30409911365,4007.57782240233,4148.23328564294,4294.06172214968,4444.98949250635,4600.41211143253,4760.2659130602,4924.39410840681,5092.66281820339,5265.00564487569,5441.41905822096,5621.91114486203,5806.42680300644,5994.77395249728,6187.36886176015,6384.50721092268,6586.62330895801,6794.31585160975,7008.19893822181,7228.93508409526,7457.0808102003,7693.08803753897,7937.37354469866,8190.29442182802,8452.16082551343,8723.26866122644,9003.9762816507,9294.6196392145,9595.53263742731,9907.0521797674,10229.5218871478,10563.2610828781,10908.6102422766,11265.8035735093,11635.0869963856,12016.7253417252,12410.9357220133,12818.0010557511,13238.2429622157,13671.9733495088,14119.4863767352,14581.0462451516,15056.9522952324,15547.5587388863,16053.2567053612,16574.5019708718
"10",712.871,731.651,749.674550771822,767.927260620984,786.470041342082,805.171693989628,823.40081048657,841.08100165686,867.029465870339,832.478048892891,896.720074683908,924.822175074087,955.449040231672,988.0382669295,1021.75514865719,1057.62935230651,1093.97200993568,1128.53440260726,1160.9082978591,1191.43656468252,1226.55253975078,1266.24138527669,1304.32193166978,1350.30565031705,1389.88152902035,1433.81633491539,1488.78102086242,1543.61192414569,1596.99790030751,1651.12684970564,1710.32107706422,1761.72888994309,1813.8038708688,1865.95754960209,1926.73683149696,1995.68756440284,2078.39734300431,2154.76095226858,2241.12352855572,2327.97595991493,2408.13722562052,2497.22503049125,2581.81024916165,2654.21537509578,2727.96792132922,2802.52381755493,2882.35407371767,2967.19326876265,3052.44878198112,3138.6686173699,3227.05987657768,3316.03146229764,3404.06857033061,3487.40897448808,3607.04762834697,3731.58204305006,3861.14699169643,3996.03095647885,4136.28115503156,4281.68942217945,4432.18233068049,4587.15713693234,4746.55035850479,4910.2056581648,5077.98954238412,5249.83580489706,5425.74092567229,5605.71296803298,5789.69698894918,5977.50146169645,6169.54145532366,6366.11179802766,6567.64554742538,6774.73967426348,6988.0065085072,7208.10665658002,7435.59503597164,7670.92226558305,7914.50392315497,8166.6960699672,8427.80796896494,8698.13467303971,8978.0335023686,9267.83944141427,9567.88543162399,9878.5074057702,10200.0479947054,10532.8256016862,10877.1797210339,11233.3438861,11601.5633081357,11982.1020549147,12375.1766133652,12781.069086827,13200.1001679093,13632.5808660257,14078.804492733,14539.0344880559,15013.5693299916,15502.7622098728,16007.0031300031
