"","Year","num_immune","total","prop_immune"
"1",1980,26711.0985,26711.0985,1
"2",1981,26203.9925,27394.0813069572,0.956556717722269
"3",1982,25845.1320727079,28095.326869728,0.919908573854517
"4",1983,25516.5339344556,28822.8556268022,0.885288198533941
"5",1984,25209.2341085764,29579.1931705658,0.852262398207065
"6",1985,24917.2984969731,30365.8041980166,0.820571005940971
"7",1986,24633.0020443861,31180.6855722805,0.790008352679864
"8",1987,24356.5741515102,32028.2440487069,0.760471729716746
"9",1988,24085.8372571103,32907.0224852754,0.731936086526447
"10",1989,23819.2511503177,33814.6176129545,0.704406934981647
"11",1990,23555.2562715107,34748.7788102523,0.677872923251074
"12",1991,23293.306252953,35716.8845758327,0.652165118250936
"13",1992,23031.5733108872,36721.996533975,0.627187394061719
"14",1993,22770.4520468857,37764.1516731305,0.602964744024344
"15",1994,22507.5536444523,38847.7012306004,0.579379292248135
"16",1995,22246.3908484724,39971.6921586847,0.556553642016352
"17",1996,21979.2873282136,41128.6804793378,0.534402929344052
"18",1997,21687.2915630109,42297.2994892933,0.512734662138434
"19",1998,21406.5043606895,43534.2968192623,0.491715863691587
"20",1999,21100.9669771761,44797.5238815068,0.471029761220507
"21",2000,20793.8507264963,46105.3353325625,0.451007471836136
"22",2001,20515.7788417349,47496.7550337164,0.431940641569543
"23",2002,20234.3633463657,48926.9016710933,0.413563145330342
"24",2003,19946.9104210033,50393.094000714,0.395826269780552
"25",2004,19660.3681333654,51905.619039591,0.378771479796232
"26",2005,19375.2153357455,53476.3062989363,0.36231401674298
"27",2006,19088.9946030467,55110.0016662025,0.346379858934997
"28",2007,18801.8066796013,56821.6392208383,0.330891662708422
"29",2008,18512.8846962732,58601.6829214192,0.31591046149814
"30",2009,18222.3036343109,60460.9244738624,0.301389761947628
"31",2010,17929.6653276022,62398.5403371754,0.28734110174241
"32",2011,17637.9293747629,64412.9652233629,0.273825763394068
"33",2012,17345.4854504576,66511.1983636815,0.260790451490784
"34",2013,17051.5112394635,68685.2541858612,0.248255778355604
"35",2014,16756.1324853224,70923.0300395599,0.236257989484884
"36",2015,16458.7820942774,73225.3194022495,0.224769003790399
"37",2016,16159.5230680713,75593.40986976,0.213768939592916
"38",2017,15859.538278456,78036.626538891,0.203231981979028
"39",2018,15557.039931256,80555.4163242709,0.193122208798873
"40",2019,15252.4631976593,83152.4171187723,0.183427779085161
"41",2020,14945.3196390878,85825.4052152069,0.174136313153576
"42",2021,14619.7611015062,88573.7810971571,0.165057434834691
"43",2022,14276.1092596973,91380.3064546459,0.156227417192815
"44",2023,13949.959706465,94294.1637104412,0.147940860362286
"45",2024,13638.9870976839,97312.3571888936,0.1401567847258
"46",2025,13322.2046828712,100436.744515552,0.132642736949805
"47",2026,12999.6932544228,103670.249818016,0.125394636139515
"48",2027,12671.5265389092,107017.415437446,0.118406209747384
"49",2028,12337.7969181646,110483.0690574,0.111671381175651
"50",2029,11998.6431500856,114072.045974789,0.105184780789654
"51",2030,11654.2637041923,117788.918829645,0.0989419363042763
"52",2031,11304.9174900314,121638.158284889,0.0929389070784365
"53",2032,10950.904892349,125623.544087811,0.0871723924990864
"54",2033,10592.5315172988,129748.78751241,0.0816387707383063
"55",2034,10230.0748681357,134017.403311732,0.0763339283954037
"56",2035,9863.75878313535,138432.741799273,0.0712530768005575
"57",2036,9493.7583131096,142998.064447943,0.0663908168950478
"58",2037,9120.22989416642,147716.611522922,0.0617413965845758
"59",2038,8743.35626184569,152591.614075434,0.0572990613856628
"60",2039,8363.40495918173,157626.224389714,0.053058461506406
"61",2040,7980.76682938771,162823.369589752,0.049014873291813
"62",2041,7595.98029828578,168186.424758911,0.0451640511960126
"63",2042,7209.73201453356,173719.04519212,0.0415022544394033
"64",2043,6822.83186507983,179425.319076508,0.038026026093734
"65",2044,6436.18066984598,185309.934701871,0.0347319785104916
"66",2045,6050.73477806754,191378.183694081,0.031616638120778
"67",2046,5667.48883842213,197636.009218581,0.0286763978934325
"68",2047,5287.48117054547,204089.883990632,0.0259076102507274
"69",2048,4911.81102858649,210746.699720507,0.0233067043759193
"70",2049,4541.66535833042,217613.733485309,0.0208703066924635
"71",2050,4178.33879198038,224698.582853621,0.0185953054928804
"72",2051,3823.22799932239,232009.116826855,0.0164787834702875
"73",2052,3477.81233761671,239553.459647008,0.0145178965177184
"74",2053,3143.60373993974,247340.056859245,0.0127096426670941
"75",2054,2822.0942994433,255377.642101523,0.0110506709836463
"76",2055,2514.70242441798,263675.231912812,0.00953712036650263
"77",2056,2222.75945345667,272242.122782255,0.00816464193983118
"78",2057,1947.49280581482,281087.892418801,0.0069284122807865
"79",2058,1690.0076210174,290222.369259379,0.00582314735190863
"80",2059,1451.2796259238,299655.654521451,0.00484315781806783
"81",2060,1232.13419240388,309398.00274868,0.00398235987775503
"82",2061,1033.19284075428,319459.841309128,0.00323418692164972
"83",2062,854.812948575957,329851.791957203,0.00259150615342683
"84",2063,697.022392324282,340584.619898535,0.00204654688321491
"85",2064,559.480084154062,351669.310485154,0.00159092666739164
"86",2065,441.469520736749,363117.109114402,0.00121577725107318
"87",2066,341.927565215073,374939.507976819,0.000911953949745442
"88",2067,259.496630218001,387148.226171292,0.00067027720308652
"89",2068,192.59596823476,399755.176767285,0.000481784800867954
"90",2069,139.489769779302,412772.507190376,0.000337933770659215
"91",2070,98.3521780715044,426212.659600644,0.000230758462603291
"92",2071,67.3372679641614,440088.410280981,0.000153008500999081
"93",2072,44.6427151784129,454412.939464667,9.82426143740656e-05
"94",2073,28.5720757502302,469199.903043943,6.08953146939466e-05
"95",2074,17.5926887618121,484463.500211985,3.63137548114855e-05
"96",2075,10.3855974037282,500218.507235235,2.07621214599408e-05
"97",2076,5.85738760899155,516480.198507308,1.13409722694503e-05
"98",2077,3.1427740716736,533264.539979357,5.89346156749005e-06
"99",2078,1.59812034462246,550588.207092067,2.90256915065969e-06
"100",2079,0.763330780638569,568468.608889642,1.34278440128742e-06
"101",2080,0.340970248035399,586923.90665615,5.80944555450111e-07
